Order_ID,Product_ID,Product_Name,Category,Supplier_Name,Warehouse_Location,Order_Date,Shipment_Date,Delivery_Date,Shipping_Mode,Customer_Region,Order_Quantity,Unit_Cost,Unit_Price,Total_Cost,Shipping_Cost,Inventory_Level,Lead_Time_Days,Order_Status,Delivery_Status
10386,P188,T-shirt,electronics,Orion Manufacturing, China Hub,27-01-2024,31-01-2024,14-02-2024,Sea,Asia,221,12.69,21.39 USD,2804.49,1066,391,-1,Returned,Late
10068,P910,LED TV,Electronics,NextGen Supplies,USA Warehouse,03-10-2024,04-10-2024,15-10-2024,Express,Europe,405,232.53,428.01 USD,94174.65,1814.19,821,20,Returned,On-Time
10366,P752,Headphones,apparel,Delta Exporters,India DC,02-23-2023,25-02-2023,28-02-2023,Air,Europe,33,370.29,$622.98,12219.57,961.13,143,19,Delayed,On-Time
10024,P443,Chocolate,Food,Alpha Traders,Germany Warehouse,01-03-2023,02-03-2023,07-03-2023,Express,Asia,57,33.56,$37.69,1912.92,1783.1,982,-2,Returned,Late
10244,P437,Frozen Pizza,Electronics ,NextGen Supplies,China Hub,01-01-2023,03-01-2023,06-01-2023,Sea,Europe,37,314.55,584.57,11638.35,1360.21,41,3,Delayed,On-Time
10063,P641,Office Chair,Automotive,Alpha Traders,Brazil Hub,03-07-2024,04-07-2024,08-07-2024,Air,South America,246,265.87,$478.03,65404.02,1544.95,340,14,Returned,Late
10256,P223,Dining Table,Automotive ,Orion Manufacturing,Germany Warehouse,06-07-2024,13-07-2024,26-07-2024,Air,North America,106,306.55,355.93,32494.3,1898.1,388,14,Delayed,Late
10004,P752,Sneakers,Electronics ,Alpha Traders, China Hub,09-09-2024,13-09-2024,17-09-2024,Truck,South America,478,412.01,803.07,196940.78,2673.1,943,17,Shipped,Late
10258,P226,Office Chair,apparel,Prime Wholesale,Germany Warehouse,20-09-2023,26-09-2023,28-09-2023,Sea,North America,483,390.06,658.52 USD,188398.98,1458.72,925,17,Shipped,On-Time
10244,P206,Car Battery,Electronics ,Delta Exporters,Germany Warehouse,12-06-2024,,,Express,South America,303,147.93,$261.3,44822.79,770.85,614,5,Cancelled,Late
10284,P295,Frozen Pizza,Automotive ,Alpha Traders,USA warehouse,01-19-2024,20-01-2024,28-01-2024,Sea,Asia,272,253.01,381.17,68818.72,1201.54,711,13,Shipped,Late
10107,P293,Brake Pads,Food,Vertex Distributors, China Hub,09-23-2023,,,Air,EUROPE,67,195.08,355.62,13070.36,1600.32,470,11,Delayed,On-Time
10403,P643,Smartphone,apparel,Delta Exporters,USA Warehouse,05-26-2023,29-05-2023,13-06-2023,Truck,EUROPE,202,160.34,294.41 USD,32388.68,202.21,683,19,Cancelled,On-Time
10239,P279,Brake Pads,Electronics ,Orion Manufacturing,Brazil Hub,13-04-2023,16-04-2023,28-04-2023,Sea,Europe,451,258.17,461.31,116434.67,400.32,783,-2,Returned,On-Time
10287,P314,LED TV,Electronics ,Orion Manufacturing,China Hub,07-02-2024,09-07-2024,20-07-2024,Truck,Asia,58,426.12,$511.38,24714.96,287.1,329,6,Cancelled,Late
10357,P170,Jacket,Apparel,Orion Manufacturing,USA warehouse,02-13-2024,19-02-2024,05-03-2024,Air,EUROPE,277,82.12,121.23 USD,22747.24,1256.81,287,20,Cancelled,Late
10337,P291,Jacket,electronics,Vertex Distributors, China Hub,12-23-2023,29-12-2023,02-01-2024,Express, north america,198,496.79,847.68 USD,98364.42,290.93,85,3,Shipped,Late
10037,P761,Brake Pads,Automotive ,NextGen Supplies,India DC,09-09-2024,16-09-2024,24-09-2024,Express,Asia,421,77.37,$148.63,32572.77,295.09,937,6,Cancelled,Late
10355,P790,Chocolate,Electronics ,Delta Exporters,Brazil Hub,12-05-2024,13-05-2024,17-05-2024,Air,North America,139,465.81,571.76,64747.59,1017.6,519,4,Cancelled,On-Time
10222,P760,Chocolate,electronics,Orion Manufacturing,China Hub,25-11-2023,27-11-2023,06-12-2023,Truck, north america,284,135.63,165.4,38518.92,1556.37,944,5,Returned,Late
10214,P748,Office Chair,Food,Vertex Distributors,USA Warehouse,18-12-2023,21-12-2023,26-12-2023,Truck,North America,311,34.44,56.75 USD,10710.84,240.01,911,7,Shipped,On-Time
10470,P846,Office Chair,Automotive ,Alpha Traders,Brazil Hub,22-05-2024,,,Express,Asia,225,32.66,$63.26,7348.5,297.76,131,15,Cancelled,On-Time
10297,P628,T-shirt,Food,Orion Manufacturing,Brazil Hub,01-05-2023,12-01-2023,15-01-2023,Air,Asia,478,78.69,121.5 USD,37613.82,1147.05,76,14,Shipped,On-Time
10013,P113,Frozen Pizza,electronics,Prime Wholesale, China Hub,03-07-2023,08-07-2023,23-07-2023,Sea,South America,231,12.04,20.79 USD,2781.24,141.14,634,1,Shipped,Late
10476,P558,Jeans,apparel,NextGen Supplies, China Hub,03-12-2023,08-12-2023,17-12-2023,Truck, north america,393,154.95,190.61 USD,60895.35,1548.32,592,10,Cancelled,On-Time
10135,P859,Sofa,Automotive,Vertex Distributors,China Hub,05-22-2024,25-05-2024,29-05-2024,Express, north america,325,201.95,$256.13,65633.75,366.39,165,20,Shipped,On-Time
10093,P831,Laptop,Food,Prime Wholesale, China Hub,10-02-2023,17-02-2023,23-02-2023,Express, north america,267,442.94,736.67 USD,118264.98,479.29,347,11,Returned,Late
10192,P477,Tablet,Electronics,Global Tech Ltd,India DC,01-14-2024,16-01-2024,18-01-2024,Truck,South America,152,167.7,$193.67,25490.4,204.4,695,18,Returned,On-Time
10471,P908,Sofa,Furniture,Vertex Distributors,China Hub,04-07-2024,08-07-2024,21-07-2024,Sea,South America,387,355.63,688.14,137628.81,834.06,84,10,Cancelled,Late
10189,P770,Chocolate,apparel,Vertex Distributors,USA warehouse,16-05-2023,20-05-2023,26-05-2023,Sea, north america,98,425.62,590.51 USD,41710.76,908.84,357,2,Delayed,On-Time
10092,P841,Dining Table,Apparel,Alpha Traders,Brazil Hub,04-08-2023,11-04-2023,19-04-2023,Truck,EUROPE,254,70.62,133.48,17937.48,144.27,274,5,Returned,On-Time
10335,P571,Engine Oil,electronics,Orion Manufacturing, China Hub,11-08-2024,,,Air, north america,431,417.35,$465.15,179877.85,461.48,583,5,Returned,Late
10081,P271,Dining Table,Electronics ,Global Tech Ltd,Brazil Hub,02-02-2024,06-02-2024,14-02-2024,Sea, north america,417,223.51,247.12,93203.67,565.95,144,7,Returned,On-Time
10091,P333,T-shirt,Furniture,Global Tech Ltd,USA warehouse,06-04-2023,12-04-2023,18-04-2023,Truck,South America,237,110.61,$141.26,26214.57,702.23,75,19,Shipped,On-Time
10470,P428,T-shirt,Electronics ,Delta Exporters,USA Warehouse,03-03-2023,08-03-2023,17-03-2023,Express, north america,349,75.15,110.37,26227.35,1740.81,772,16,Cancelled,On-Time
10132,P206,Dining Table,apparel,Orion Manufacturing, China Hub,11-08-2023,17-08-2023,26-08-2023,Sea,North America,369,482.89,546.04,178186.41,75.9,61,8,Shipped,Late
10382,P928,Jeans,Food,Alpha Traders, China Hub,08-08-2023,11-08-2023,16-08-2023,Truck,North America,462,115.87,144.85,53531.94,1538.38,732,19,Cancelled,Late
10447,P202,LED TV,Automotive,Orion Manufacturing,China Hub,07-04-2024,10-04-2024,16-04-2024,Truck,South America,77,387.39,605.74 USD,29829.03,1805.85,-44,19,Delayed,Late
10321,P598,Chocolate,Electronics ,NextGen Supplies,USA Warehouse,06-07-2023,13-07-2023,25-07-2023,Air,Europe,413,195.72,316.49,80832.36,1924.19,879,9,Delayed,On-Time
10124,P362,Dining Table,Food,Global Tech Ltd,USA warehouse,07-25-2023,01-08-2023,14-08-2023,Express,EUROPE,339,441.58,699.02,149695.62,1657.31,152,12,Shipped,Late
10418,P622,Brake Pads,Food,Alpha Traders,Brazil Hub,01-01-2023,03-01-2023,05-01-2023,Air,North America,227,212.8,420.79 USD,48305.6,1899.13,501,10,Delayed,Late
10243,P206,Tablet,electronics,Global Tech Ltd, China Hub,30-08-2023,04-09-2023,19-09-2023,Air,EUROPE,384,79.36,137.97,30474.24,327.26,993,5,Delayed,On-Time
10212,P581,Office Chair,Food,Global Tech Ltd, China Hub,07-16-2024,19-07-2024,27-07-2024,Air,EUROPE,463,17.67,$30.81,8181.21,1859.14,151,7,Cancelled,Late
10339,P192,Frozen Pizza,Electronics ,Orion Manufacturing, China Hub,09-19-2023,24-09-2023,06-10-2023,Express, north america,301,303.16,$538.06,91251.16,66.53,815,12,Returned,Late
10444,P718,LED TV,Electronics ,Delta Exporters,China Hub,07-11-2023,12-11-2023,26-11-2023,Truck,North America,201,479.28,713.79,96335.28,1344.89,794,-3,Cancelled,On-Time
10153,P888,Dining Table,apparel,Alpha Traders,USA warehouse,02-23-2023,24-02-2023,03-03-2023,Air,North America,30,179.2,314.9,5376,645.59,626,14,Returned,On-Time
10061,P912,Smartphone,electronics,Delta Exporters,Brazil Hub,07-04-2023,13-04-2023,25-04-2023,Truck,EUROPE,247,100.76,138.77,24887.72,472.3,32,13,Returned,Late
10058,P939,Dining Table,electronics,Prime Wholesale,USA Warehouse,29-11-2024,01-12-2024,04-12-2024,Truck,North America,190,497.38,558.26,94502.2,138.73,643,18,Delayed,Late
10072,P217,Office Chair,electronics,Delta Exporters,USA Warehouse,19-01-2023,25-01-2023,30-01-2023,Sea,Europe,476,220.75,247.27,105077,1087.88,104,8,Cancelled,Late
10288,P901,Sneakers,Automotive ,Prime Wholesale,Brazil Hub,03-06-2023,08-03-2023,23-03-2023,Truck,EUROPE,71,166.98,206.08,11855.58,1872.08,224,10,Shipped,Late
10225,P247,Jeans,Furniture,Vertex Distributors, China Hub,01-08-2024,09-01-2024,13-01-2024,Express, north america,405,302.41,$334.76,122476.05,208.79,552,6,Delayed,Late
10390,P858,Sneakers,Automotive,Global Tech Ltd,USA warehouse,01-04-2024,07-04-2024,20-04-2024,Truck,Europe,476,131.22,204.39,62460.72,523.5,893,6,Shipped,On-Time
10298,P339,Laptop,Automotive,Orion Manufacturing,USA warehouse,05-24-2024,28-05-2024,05-06-2024,Express,EUROPE,357,451.85,681.56,161310.45,1864.03,448,17,Cancelled,On-Time
10048,P562,Jeans,Electronics ,Global Tech Ltd,Brazil Hub,19-01-2023,24-01-2023,06-02-2023,Express,South America,172,439.38,$526.35,75573.36,1419.72,533,12,Delayed,Late
10369,P479,Car Battery,electronics,Vertex Distributors, China Hub,09-05-2023,12-09-2023,26-09-2023,Sea,Europe,398,344.82,671.4,137238.36,1130.38,841,6,Delayed,On-Time
10049,P499,Smartphone,Electronics ,Prime Wholesale,Germany Warehouse,13-09-2023,20-09-2023,04-10-2023,Truck,North America,437,260.96,356.58,114039.52,104.99,643,14,Returned,Late
10006,P483,Headphones,Electronics ,Global Tech Ltd,Germany Warehouse,29-01-2023,05-02-2023,15-02-2023,Express,North America,362,357.45,470.19,129396.9,1278.46,237,-1,Delayed,On-Time
10471,P272,LED TV,Food,Vertex Distributors,Germany Warehouse,18-04-2024,19-04-2024,24-04-2024,Air,South America,408,83.84,$142.97,34206.72,38.35,684,19,Shipped,Late
10013,P745,Brake Pads,Apparel,Vertex Distributors,USA warehouse,05-26-2023,28-05-2023,02-06-2023,Truck, north america,293,53.5,63.57 USD,15675.5,503.56,516,17,Delayed,Late
10026,P909,Frozen Pizza,apparel,Orion Manufacturing, China Hub,03-10-2024,05-10-2024,19-10-2024,Truck,South America,483,326.9,411.28,157892.7,549.65,118,6,Returned,Late
10080,P658,LED TV,electronics,Alpha Traders,Brazil Hub,16-12-2023,19-12-2023,28-12-2023,Sea,South America,378,276.68,476.72,104585.04,1630.21,283,9,Cancelled,On-Time
10353,P791,T-shirt,Automotive ,NextGen Supplies,Brazil Hub,30-03-2023,03-04-2023,12-04-2023,Truck,South America,12,269.08,522.42 USD,3228.96,1031.68,864,18,Shipped,On-Time
10080,P265,Brake Pads,Furniture,Alpha Traders,USA Warehouse,11-20-2024,25-11-2024,29-11-2024,Sea,Europe,261,482.47,943.81 USD,125924.67,1313.7,901,17,Shipped,Late
10290,P374,Jeans,Automotive ,Global Tech Ltd, China Hub,12-10-2023,17-12-2023,28-12-2023,Air,South America,316,46.06,$60.46,14554.96,144.22,518,10,Shipped,On-Time
10253,P450,Laptop,Electronics ,Alpha Traders,USA warehouse,26-02-2024,04-03-2024,16-03-2024,Express, north america,196,288.02,552.67 USD,56451.92,1624.79,590,11,Cancelled,Late
10393,P128,Smartphone,electronics,NextGen Supplies,Germany Warehouse,09-21-2023,25-09-2023,06-10-2023,Sea,EUROPE,94,316.58,412.73 USD,29758.52,573.46,171,3,Delayed,On-Time
10264,P325,Tablet,Electronics,Orion Manufacturing,USA warehouse,03-02-2024,10-02-2024,15-02-2024,Express,Europe,147,387.28,$525.0,56930.16,15.96,492,3,Delayed,On-Time
10400,P448,Frozen Pizza,Electronics ,Prime Wholesale,USA warehouse,20-10-2023,23-10-2023,30-10-2023,Express,EUROPE,41,125.67,$146.71,5152.47,1674.84,460,10,Shipped,Late
10154,P747,Laptop,Food,Delta Exporters,China Hub,01-20-2024,26-01-2024,10-02-2024,Sea,EUROPE,74,324.84,$387.12,24038.16,1906.24,457,-2,Returned,On-Time
10128,P933,Frozen Pizza,Furniture,Prime Wholesale,Brazil Hub,05-29-2024,01-06-2024,10-06-2024,Sea,EUROPE,198,496.9,859.16,98386.2,755.22,613,0,Returned,On-Time
10160,P207,T-shirt,Electronics,Delta Exporters,USA warehouse,09-09-2023,11-09-2023,18-09-2023,Sea,North America,105,263.24,326.47,27640.2,1653.08,795,1,Cancelled,On-Time
10253,P515,Chocolate,electronics,Prime Wholesale,India DC,30-09-2023,03-10-2023,06-10-2023,Truck,North America,146,245.74,422.1 USD,35878.04,43.98,806,20,Cancelled,On-Time
10125,P781,Office Chair,Food,Alpha Traders,USA warehouse,15-07-2024,19-07-2024,22-07-2024,Express,Asia,309,459.85,$605.66,142093.65,1800.22,638,8,Returned,On-Time
10183,P729,Sneakers,Automotive,Global Tech Ltd,Brazil Hub,25-03-2023,28-03-2023,31-03-2023,Truck,Asia,201,219.81,258.74,44181.81,208.86,487,8,Cancelled,On-Time
10321,P617,Chocolate,Electronics,Global Tech Ltd,Germany Warehouse,11-04-2023,17-04-2023,28-04-2023,Truck,South America,146,44.84,53.48,6546.64,1993.67,56,-1,Cancelled,Late
10348,P748,Jacket,Electronics,Vertex Distributors, China Hub,13-02-2023,17-02-2023,03-03-2023,Express,North America,238,387.58,706.08 USD,92244.04,1605.94,546,16,Cancelled,Late
10158,P210,Chocolate,apparel,Delta Exporters,India DC,03-21-2024,22-03-2024,04-04-2024,Express, north america,12,10.62,13.93 USD,127.44,1579.85,248,13,Shipped,On-Time
10207,P868,Chocolate,Electronics ,Alpha Traders,USA warehouse,08-07-2024,14-08-2024,23-08-2024,Sea,North America,372,340.31,378.88,126595.32,321.68,34,0,Shipped,Late
10046,P191,Tablet,electronics,Orion Manufacturing,China Hub,05-07-2024,,,Sea, north america,343,403.66,$466.43,138455.38,1823.19,-43,19,Delayed,On-Time
10255,P128,Frozen Pizza,apparel,Delta Exporters,USA warehouse,18-09-2023,25-09-2023,03-10-2023,Sea,EUROPE,193,479.15,790.45,92475.95,517.5,658,12,Shipped,On-Time
10259,P466,Smartphone,Automotive ,Global Tech Ltd,USA Warehouse,06-01-2023,08-06-2023,13-06-2023,Air,Asia,193,365.28,$432.3,70499.04,1640.4,627,17,Returned,Late
10191,P461,Jacket,apparel,Delta Exporters,USA Warehouse,08-28-2024,29-08-2024,07-09-2024,Express,Europe,488,446.54,742.25,217911.52,1901.23,123,0,Shipped,On-Time
10355,P369,Frozen Pizza,Food,Delta Exporters,Brazil Hub,15-09-2023,19-09-2023,21-09-2023,Express,Europe,494,223.06,$246.4,110191.64,480.53,60,7,Cancelled,Late
10118,P117,T-shirt,Automotive ,Global Tech Ltd,China Hub,07-26-2023,27-07-2023,01-08-2023,Truck,EUROPE,38,315.64,$474.85,11994.32,494.94,12,11,Shipped,Late
10009,P459,Car Battery,Automotive ,Orion Manufacturing,USA warehouse,16-07-2023,21-07-2023,23-07-2023,Sea,EUROPE,338,341.9,631.15,115562.2,1231.05,868,12,Shipped,On-Time
10015,P651,LED TV,Automotive ,Prime Wholesale,USA Warehouse,17-07-2023,23-07-2023,05-08-2023,Air,Asia,353,27.11,47.74,9569.83,1201.23,-16,8,Cancelled,On-Time
10373,P829,Smartphone,Electronics ,Delta Exporters, China Hub,13-10-2024,15-10-2024,23-10-2024,Sea,North America,380,94.86,179.62,36046.8,1248.06,350,-1,Shipped,Late
10001,P676,Frozen Pizza,apparel,Vertex Distributors,China Hub,02-19-2023,25-02-2023,28-02-2023,Sea,North America,158,98.49,$152.62,15561.42,625,671,-1,Shipped,On-Time
10351,P856,T-shirt,Automotive,Alpha Traders, China Hub,12-04-2023,14-04-2023,16-04-2023,Air,Europe,329,116.63,$142.22,38371.27,1226.79,524,0,Shipped,On-Time
10248,P208,Headphones,Electronics ,Alpha Traders,USA Warehouse,31-07-2024,01-08-2024,10-08-2024,Truck, north america,315,341.64,387.91,107616.6,641.17,432,9,Returned,On-Time
10090,P956,Laptop,Automotive ,Vertex Distributors,USA warehouse,23-08-2023,30-08-2023,01-09-2023,Air,EUROPE,444,80.74,109.46 USD,35848.56,787.47,522,15,Cancelled,Late
10153,P591,Frozen Pizza,Automotive,Orion Manufacturing,China Hub,08-09-2024,13-09-2024,25-09-2024,Truck, north america,396,459.19,697.6 USD,181839.24,818.61,875,6,Cancelled,On-Time
10122,P325,Tablet,Automotive,Prime Wholesale,Brazil Hub,04-05-2023,12-04-2023,22-04-2023,Express,EUROPE,379,347.98,669.79,131884.42,1088.53,149,20,Shipped,On-Time
10067,P477,Laptop,Automotive,NextGen Supplies,China Hub,23-06-2023,26-06-2023,30-06-2023,Sea,South America,55,41.94,69.1 USD,2306.7,1671.67,534,14,Shipped,Late
10260,P342,Laptop,electronics,Delta Exporters,USA warehouse,18-09-2023,20-09-2023,02-10-2023,Air,South America,196,8.56,16.73 USD,1677.76,92.41,576,-2,Cancelled,On-Time
10360,P912,Car Battery,Automotive ,NextGen Supplies,Germany Warehouse,24-04-2023,,,Truck,EUROPE,21,494.86,622.88,10392.06,1976.12,570,1,Returned,On-Time
